request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000 today; the minimum balance remains protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670 today; the minimum balance remains protected.
request_28,180.94,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,Wait until 2024-07-15 to pay 1302.4 in full safely.
request_29,26204.55,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments totaling 806.22; the schedule stays above the minimum.
request_31,2348868.27,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Wait until 2024-10-15 to pay 18164000 in full safely.
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 35700 minimum protected.
request_33,38668.74,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Wait until 2026-01-15 to pay 118000 in full safely.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400 today; the minimum balance remains protected.
request_35,41906.37,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Wait until 2025-12-15 to pay 212000 in full safely.
request_36,746.81,affordable_later,wait,2026-08-15:3954,2026-08-15,none,Wait until 2026-08-15 to pay 3954 in full safely.
request_37,4042761.29,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,Wait until 2024-04-15 to pay 14649000 in full safely.
request_38,214.75,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Wait until 2025-09-15 to pay 971.3 in full safely.
request_39,72829.82,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Wait until 2026-05-15 to pay 208600 in full safely.
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the EUR 1500 minimum protected.
request_41,11247027.34,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Wait until 2025-12-15 to pay 38760000 in full safely.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100 today; the minimum balance remains protected.
request_43,8314458.79,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15 to pay 43339000 in full safely.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the INR 82900 minimum protected.
request_45,5072824.97,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Wait until 2026-08-15 to pay 21983000 in full safely.
request_46,20205.38,affordable_with_plan,partial_payment,2024-12-03:20205.38|2024-12-15:29244.62,2024-12-15,none,Use the two-payment partial plan; each payment was verified against the projected balance.
request_47,29075092.35,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the IDR 30049000 minimum protected.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay 45700 today; the minimum balance remains protected.
request_49,9249618.48,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 installments totaling 35706320.01; the schedule stays above the minimum.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay 43900 today; the minimum balance remains protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay 2191000 today; the minimum balance remains protected.
request_52,21517.31,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 to pay 28870 in full safely.
request_53,617.31,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Use 3 installments totaling 1767.18; the schedule stays above the minimum.
request_54,4167.76,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 37000 minimum protected.
request_55,130167.62,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Use 3 installments totaling 227343.99; the schedule stays above the minimum.
request_56,751.58,affordable_with_plan,partial_payment,2025-02-03:751.58|2025-02-15:129.98,2025-02-15,none,Use the two-payment partial plan; each payment was verified against the projected balance.
request_57,12183.53,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait until 2026-05-15 to pay 61446 in full safely.
